id;title;description;content;release_date;price
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;digital forecast Bahrain;2020-08-14;89889
2;Baht radical solid state;mobile intuitive high-level;Pass;2020-08-15;74365
3;Wyoming Sudan;Mall Kansas Accountability;Texas auxiliary;2020-08-14;70037
4;redefine;software Optimization secondary;Toys Soft Alaska;2020-08-15;14003
5;Personal Loan Account bleeding-edge payment;markets;ivory Mouse;2020-08-14;84731
6;Licensed Plastic Bacon Consultant XML;Developer orchestrate;online withdrawal payment;2020-08-15;5839
7;Shoes transmitting grow;Practical Granite Chicken;generate Health deposit;2020-08-14;50518
8;Computer navigate Chicken;back-end;Producer hard drive;2020-08-14;29497
9;Product programming;Checking Account Industrial;back-end Future-proofed compressing;2020-08-14;15024
10;green Dominica;Shoes parse world-class;Cocos (Keeling) Islands South Carolina;2020-08-15;71840
